order_date,stock_date,order_number,product_key,customer_key,territory_key,order_line_item,order_quantity
8/3/2025,11/12/2003,SO61400,528,14375,1,1,2
8/3/2025,10/12/2003,SO61400,215,14375,1,2,1
8/3/2025,11/18/2003,SO61386,480,27609,4,3,2
8/3/2025,12/8/2003,SO61386,530,27609,4,2,2
8/3/2025,9/20/2003,SO61386,541,27609,4,1,2
8/3/2025,12/14/2003,SO61377,223,18199,9,1,2
8/3/2025,10/28/2003,SO61373,478,11122,9,1,2
8/3/2025,10/19/2003,SO61398,528,23368,6,1,1
8/3/2025,11/8/2003,SO61420,223,13122,9,4,2
8/3/2025,9/21/2003,SO61420,485,13122,9,2,2
8/3/2025,10/4/2003,SO61420,362,13122,9,1,1
8/3/2025,9/18/2003,SO61420,487,13122,9,3,1
8/3/2025,12/5/2003,SO61419,387,24484,9,1,1
8/3/2025,10/25/2003,SO61425,214,13050,9,2,1
8/3/2025,10/31/2003,SO61425,579,13050,9,1,1
8/3/2025,9/28/2003,SO61376,484,13613,9,1,2
8/3/2025,9/27/2003,SO61413,477,11937,1,3,2
8/3/2025,10/4/2003,SO61413,478,11937,1,2,2
8/3/2025,12/9/2003,SO61413,362,11937,1,1,1
8/3/2025,12/3/2003,SO61416,477,17184,8,3,3
8/3/2025,11/28/2003,SO61416,479,17184,8,2,2
8/3/2025,10/11/2003,SO61416,214,17184,8,4,1
8/3/2025,12/13/2003,SO61416,573,17184,8,1,1
8/3/2025,11/2/2003,SO61415,485,12782,6,2,2
8/3/2025,9/12/2003,SO61415,223,12782,6,4,1
8/3/2025,10/15/2003,SO61415,232,12782,6,3,1
8/3/2025,10/5/2003,SO61415,356,12782,6,1,1
8/3/2025,11/1/2003,SO61394,464,16948,6,4,3
8/3/2025,11/9/2003,SO61394,478,16948,6,1,2
8/3/2025,10/18/2003,SO61394,215,16948,6,2,1
8/3/2025,10/5/2003,SO61394,229,16948,6,3,1
8/3/2025,9/30/2003,SO61410,484,14648,4,3,2
8/3/2025,9/11/2003,SO61410,485,14648,4,2,2
8/3/2025,9/26/2003,SO61410,362,14648,4,1,1
8/3/2025,12/10/2003,SO61379,529,16436,7,2,3
8/3/2025,12/2/2003,SO61379,220,16436,7,4,1
8/3/2025,11/6/2003,SO61379,377,16436,7,1,1
8/3/2025,9/29/2003,SO61379,540,16436,7,3,1
8/3/2025,11/14/2003,SO61372,484,12139,1,1,2
8/3/2025,11/6/2003,SO61404,485,16314,10,1,3
8/3/2025,10/13/2003,SO61404,232,16314,10,2,1
8/3/2025,10/21/2003,SO61388,535,14265,6,1,3
8/3/2025,10/26/2003,SO61388,480,14265,6,2,1
8/3/2025,11/10/2003,SO61407,529,20974,7,1,3
8/3/2025,12/6/2003,SO61407,480,20974,7,2,2
8/3/2025,10/10/2003,SO61407,483,20974,7,3,1
8/3/2025,11/15/2003,SO61380,480,15927,8,3,2
8/3/2025,12/6/2003,SO61380,362,15927,8,1,1
8/3/2025,10/26/2003,SO61380,537,15927,8,2,1
8/3/2025,9/21/2003,SO61418,529,24585,9,2,2
8/3/2025,11/20/2003,SO61418,539,24585,9,3,2
8/3/2025,12/14/2003,SO61418,215,24585,9,4,1
8/3/2025,11/22/2003,SO61418,385,24585,9,1,1
8/3/2025,11/5/2003,SO61389,540,25194,1,1,1
8/3/2025,9/18/2003,SO61409,528,15155,4,3,3
8/3/2025,10/11/2003,SO61409,481,15155,4,5,2
8/3/2025,9/6/2003,SO61409,485,15155,4,4,2
8/3/2025,10/19/2003,SO61409,360,15155,4,1,1
8/3/2025,10/18/2003,SO61409,537,15155,4,2,1
8/3/2025,10/29/2003,SO61385,480,11262,6,1,2
8/3/2025,12/9/2003,SO61385,484,11262,6,2,2
8/3/2025,10/2/2003,SO61399,528,15939,1,1,2
8/3/2025,10/5/2003,SO61399,215,15939,1,2,1
8/3/2025,10/22/2003,SO61387,530,28253,4,1,3
