order_date,stock_date,order_number,product_key,customer_key,territory_key,order_line_item,order_quantity
8/1/2025,12/13/2003,SO61285,529,23791,1,2,2
8/1/2025,9/24/2003,SO61285,214,23791,1,3,1
8/1/2025,9/4/2003,SO61285,540,23791,1,1,1
8/1/2025,9/28/2003,SO61301,529,16747,1,2,2
8/1/2025,10/21/2003,SO61301,377,16747,1,1,1
8/1/2025,10/23/2003,SO61301,540,16747,1,3,1
8/1/2025,9/4/2003,SO61269,215,11792,4,1,1
8/1/2025,10/21/2003,SO61269,229,11792,4,2,1
8/1/2025,10/24/2003,SO61286,528,11530,6,2,2
8/1/2025,9/27/2003,SO61286,536,11530,6,1,2
8/1/2025,10/23/2003,SO61298,530,18155,10,1,2
8/1/2025,12/2/2003,SO61298,214,18155,10,3,1
8/1/2025,12/15/2003,SO61298,223,18155,10,2,1
8/1/2025,10/1/2003,SO61310,538,13541,8,2,2
8/1/2025,11/8/2003,SO61310,584,13541,8,1,1
8/1/2025,12/6/2003,SO61270,485,18259,9,1,2
8/1/2025,10/31/2003,SO61289,528,23694,1,1,2
8/1/2025,11/16/2003,SO61289,536,23694,1,2,2
8/1/2025,11/20/2003,SO61289,215,23694,1,3,1
8/1/2025,10/12/2003,SO61278,477,22308,10,3,2
8/1/2025,9/28/2003,SO61278,479,22308,10,2,1
8/1/2025,12/10/2003,SO61278,488,22308,10,4,1
8/1/2025,9/25/2003,SO61278,580,22308,10,1,1
8/1/2025,10/1/2003,SO61305,583,20236,9,1,1
8/1/2025,9/13/2003,SO61283,529,26273,1,2,2
8/1/2025,9/27/2003,SO61283,538,26273,1,1,2
8/1/2025,9/3/2003,SO61283,220,26273,1,3,1
8/1/2025,11/23/2003,SO61288,528,19709,6,1,2
8/1/2025,10/30/2003,SO61288,536,19709,6,2,2
8/1/2025,11/21/2003,SO61288,220,19709,6,3,1
8/1/2025,11/5/2003,SO61272,480,21239,9,2,2
8/1/2025,9/8/2003,SO61272,528,21239,9,1,2
8/1/2025,11/16/2003,SO61276,223,17252,9,2,3
8/1/2025,10/31/2003,SO61276,488,17252,9,1,1
8/1/2025,10/21/2003,SO61294,477,17396,4,1,2
8/1/2025,10/21/2003,SO61294,484,17396,4,2,2
8/1/2025,9/8/2003,SO61274,223,27148,9,1,3
8/1/2025,10/8/2003,SO61274,475,27148,9,2,1
8/1/2025,11/3/2003,SO61307,215,20260,9,2,1
8/1/2025,10/6/2003,SO61307,582,20260,9,1,1
8/1/2025,11/6/2003,SO61279,485,12859,10,2,2
8/1/2025,12/14/2003,SO61279,362,12859,10,1,1
8/1/2025,11/13/2003,SO61271,538,20454,9,1,2
8/1/2025,9/23/2003,SO61271,480,20454,9,2,1
8/1/2025,9/15/2003,SO61295,480,14751,1,2,2
8/1/2025,12/3/2003,SO61295,528,14751,1,1,2
8/1/2025,12/7/2003,SO61284,480,27477,4,2,2
8/1/2025,11/1/2003,SO61284,538,27477,4,1,2
8/1/2025,11/2/2003,SO61290,478,23011,4,1,2
8/1/2025,11/26/2003,SO61290,477,23011,4,2,1
8/1/2025,9/28/2003,SO61280,214,11891,4,1,1
8/1/2025,11/26/2003,SO61309,354,13625,9,1,1
8/1/2025,11/1/2003,SO61309,483,13625,9,2,1
8/1/2025,9/27/2003,SO61302,477,14486,4,2,2
8/1/2025,11/29/2003,SO61302,478,14486,4,3,2
8/1/2025,11/28/2003,SO61302,362,14486,4,1,1
8/1/2025,11/9/2003,SO61277,223,15050,8,3,2
8/1/2025,10/19/2003,SO61277,490,15050,8,2,1
8/1/2025,11/3/2003,SO61277,594,15050,8,1,1
8/1/2025,12/5/2003,SO61299,528,12411,4,2,2
8/1/2025,9/12/2003,SO61299,537,12411,4,1,1
8/1/2025,12/6/2003,SO61297,541,12627,10,1,3
8/1/2025,11/30/2003,SO61297,477,12627,10,4,2
8/1/2025,9/6/2003,SO61297,479,12627,10,3,2
8/1/2025,12/14/2003,SO61297,530,12627,10,2,2
8/1/2025,11/30/2003,SO61297,489,12627,10,5,1
8/1/2025,9/28/2003,SO61306,477,23431,9,3,2
8/1/2025,9/23/2003,SO61306,479,23431,9,2,2
8/1/2025,9/12/2003,SO61306,580,23431,9,1,1
8/1/2025,9/19/2003,SO61275,220,13996,9,1,1
8/1/2025,11/14/2003,SO61282,480,11306,4,1,1
8/1/2025,10/13/2003,SO61308,477,20246,9,2,2
8/1/2025,10/7/2003,SO61308,479,20246,9,3,2
8/1/2025,10/25/2003,SO61308,371,20246,9,1,1
8/1/2025,9/20/2003,SO61300,477,13164,4,3,2
8/1/2025,10/10/2003,SO61300,478,13164,4,2,2
8/1/2025,11/24/2003,SO61300,485,13164,4,1,2
8/1/2025,10/10/2003,SO61300,471,13164,4,4,1
8/1/2025,11/4/2003,SO61293,477,18083,1,1,2
8/1/2025,9/19/2003,SO61293,220,18083,1,2,1
8/1/2025,10/8/2003,SO61293,232,18083,1,3,1
8/1/2025,12/15/2003,SO61311,479,22466,7,2,2
8/1/2025,9/3/2003,SO61311,606,22466,7,1,1
8/1/2025,9/24/2003,SO61292,477,22012,4,2,2
8/1/2025,10/17/2003,SO61292,478,22012,4,1,2
8/1/2025,11/4/2003,SO61287,477,15760,6,2,2
8/1/2025,10/15/2003,SO61287,478,15760,6,1,2
8/1/2025,10/27/2003,SO61287,489,15760,6,3,1
8/1/2025,12/1/2003,SO61296,485,14996,8,1,2
8/1/2025,9/13/2003,SO61312,566,29082,9,1,1
8/1/2025,9/28/2003,SO61273,477,23430,9,1,2
8/1/2025,11/24/2003,SO61304,477,12473,10,2,2
8/1/2025,11/28/2003,SO61304,479,12473,10,3,2
8/1/2025,10/3/2003,SO61304,214,12473,10,4,1
8/1/2025,11/16/2003,SO61304,560,12473,10,1,1
8/1/2025,11/24/2003,SO61281,539,28808,1,1,3
8/1/2025,11/5/2003,SO61303,220,13602,10,2,1
8/1/2025,12/17/2003,SO61303,563,13602,10,1,1
